Register_No,Batch,Sex,Age,Address,Mother Education,Father Education,Financial Status,SSLC marks,PUC marks,BE_marks,Number of failures,Bad habits,Study time,Activities,Sports,Health,Scholarships
4RA13CS001,13,female,24,Urban,PUC/Diploma,PUC/Diploma,Medium,64,53,66,0,Yes,2,No,Yes,Good,Yes
4RA13CS002,13,female,24,Urban,SSLC,SSLC,Rich,43,48,60,0,No,2,No,Yes,Good,No
4RA13CS003,13,female,26,Rural,PUC/Diploma,SSLC,Medium,34,34,49,2,No,2,No,Yes,Good,No
4RA13CS004,13,female,24,Urban,PUC/Diploma,SSLC,Medium,48,39,47,0,No,2,No,Yes,Good,No
4RA13CS005,13,female,24,Urban,PUC/Diploma,SSLC,Poor,84,90,82,0,Yes,4,Yes,Yes,Poor,Yes
4RA13CS006,13,female,24,Urban,PUC/Diploma,PUC/Diploma,Medium,72,80,75,0,No,4,No,Yes,Poor,No
4RA13CS007,13,male,24,Rural,SSLC,PUC/Diploma,Poor,92,86,75,0,Yes,2,No,No,Poor,No
4RA13CS008,13,male,24,Rural,PUC/Diploma,PUC/Diploma,Medium,86,85,74,0,Yes,1,Yes,No,Poor,Yes
4RA13CS009,13,female,24,Urban,SSLC,SSLC,Rich,54,50,37,0,No,4,Yes,Yes,Poor,No
4RA13CS010,13,male,24,Urban,PUC/Diploma,SSLC,Poor,80,68,62,0,No,5,No,Yes,Poor,Yes
4RA13CS011,13,female,24,Rural,SSLC,SSLC,Rich,91,80,67,0,Yes,3,No,Yes,Good,Yes
4RA13CS012,13,male,24,Urban,PUC/Diploma,Degree,Medium,64,51,65,0,No,4,Yes,Yes,Good,No
4RA13CS013,13,female,25,Urban,SSLC,PUC/Diploma,Medium,39,30,50,1,Yes,4,No,Yes,Good,Yes
4RA13CS014,13,male,24,Urban,PUC/Diploma,PUC/Diploma,Medium,40,47,47,0,No,1,No,Yes,Good,No
4RA13CS015,13,male,24,Urban,SSLC,Degree,Medium,93,80,75,0,Yes,3,Yes,Yes,Good,No
4RA13CS016,13,female,24,Urban,Degree,PUC/Diploma,Rich,83,73,60,0,No,3,No,No,Good,No
4RA13CS017,13,male,24,Rural,SSLC,PUC/Diploma,Medium,57,59,46,0,Yes,1,No,Yes,Poor,No
4RA13CS018,13,male,24,Rural,Degree,PUC/Diploma,Rich,47,57,56,0,No,3,No,No,Good,No
4RA13CS019,13,female,25,Urban,SSLC,SSLC,Medium,43,33,42,1,No,4,No,No,Good,Yes
4RA13CS020,13,male,24,Urban,SSLC,SSLC,Medium,46,51,51,0,Yes,3,No,No,Good,No
4RA13CS021,13,female,26,Urban,SSLC,PUC/Diploma,Medium,41,34,26,2,Yes,1,No,Yes,Good,No
4RA13CS022,13,male,24,Rural,PUC/Diploma,PUC/Diploma,Medium,58,63,72,0,Yes,2,No,No,Good,No
4RA13CS023,13,male,24,Rural,PUC/Diploma,PUC/Diploma,Medium,71,74,70,0,No,4,No,No,Good,No
4RA13CS024,13,male,25,Urban,SSLC,SSLC,Medium,66,58,51,0,Yes,4,No,Yes,Good,No
4RA13CS025,13,female,24,Urban,PUC/Diploma,PUC/Diploma,Medium,67,65,63,0,No,3,No,No,Good,No
4RA13CS026,13,male,25,Urban,SSLC,SSLC,Rich,93,91,84,0,Yes,3,Yes,Yes,Good,Yes
4RA13CS027,13,male,24,Urban,PUC/Diploma,SSLC,Medium,74,86,69,0,Yes,2,Yes,Yes,Good,Yes
4RA13CS028,13,female,24,Rural,SSLC,PUC/Diploma,Medium,65,69,65,0,No,2,No,Yes,Poor,Yes
4RA13CS029,13,male,24,Urban,SSLC,Degree,Poor,63,48,48,0,Yes,2,No,Yes,Good,Yes
4RA13CS030,13,male,23,Rural,PUC/Diploma,SSLC,Medium,58,63,56,0,No,5,No,No,Good,Yes
4RA13CS031,13,male,24,Rural,Degree,PUC/Diploma,Poor,91,93,91,0,Yes,5,Yes,No,Good,No
4RA13CS032,13,female,24,Rural,SSLC,SSLC,Medium,88,93,75,0,No,3,Yes,Yes,Poor,Yes
4RA13CS033,13,male,24,Rural,SSLC,PUC/Diploma,Medium,40,38,41,0,No,2,Yes,No,Poor,Yes
4RA13CS034,13,female,24,Urban,PUC/Diploma,Degree,Poor,89,83,75,0,Yes,4,Yes,No,Good,Yes
4RA13CS035,13,female,24,Rural,SSLC,SSLC,Poor,53,49,43,0,Yes,2,No,Yes,Poor,Yes
4RA13CS036,13,female,24,Rural,SSLC,PUC/Diploma,Medium,95,82,72,0,No,2,Yes,Yes,Poor,No
4RA13CS037,13,female,24,Urban,SSLC,SSLC,Poor,73,85,75,0,Yes,5,No,Yes,Poor,No
4RA13CS038,13,male,24,Rural,SSLC,PUC/Diploma,Rich,35,47,47,0,No,3,No,No,Good,No
4RA13CS039,13,male,24,Rural,SSLC,Degree,Medium,65,58,60,0,Yes,4,No,No,Good,Yes
4RA13CS040,13,male,24,Rural,SSLC,SSLC,Medium,79,84,84,0,No,3,Yes,No,Poor,Yes
4RA13CS041,13,male,26,Urban,SSLC,SSLC,Rich,33,27,50,2,No,2,Yes,No,Good,Yes
4RA13CS042,13,male,24,Urban,Degree,PUC/Diploma,Poor,76,80,74,0,No,4,Yes,No,Good,Yes
4RA13CS043,13,male,25,Urban,PUC/Diploma,PUC/Diploma,Medium,37,25,54,1,Yes,5,No,Yes,Good,No
4RA13CS044,13,male,24,Rural,SSLC,SSLC,Medium,96,88,81,0,Yes,3,Yes,No,Good,No
4RA13CS045,13,female,24,Urban,SSLC,PUC/Diploma,Medium,43,45,39,0,Yes,4,Yes,No,Good,Yes
4RA13CS046,13,male,24,Rural,PUC/Diploma,SSLC,Medium,68,57,62,0,No,4,No,Yes,Poor,No
4RA13CS047,13,female,24,Urban,PUC/Diploma,SSLC,Rich,77,86,75,0,No,3,No,No,Poor,Yes
4RA13CS048,13,female,25,Urban,SSLC,PUC/Diploma,Rich,44,29,52,1,Yes,2,No,No,Good,Yes
4RA13CS049,13,male,24,Urban,Degree,SSLC,Medium,88,91,88,0,Yes,4,No,Yes,Good,No
4RA13CS050,13,female,24,Urban,SSLC,SSLC,Poor,77,83,68,0,No,3,Yes,No,Good,No
4RA13CS051,13,female,24,Rural,PUC/Diploma,PUC/Diploma,Poor,94,89,79,0,Yes,1,Yes,No,Good,No
4RA13CS052,13,female,25,Rural,PUC/Diploma,PUC/Diploma,Medium,36,30,49,1,No,2,No,No,Good,Yes
4RA13CS053,13,female,24,Rural,PUC/Diploma,PUC/Diploma,Medium,63,50,56,0,Yes,2,No,Yes,Poor,Yes
4RA13CS054,13,female,24,Rural,SSLC,SSLC,Medium,66,57,64,0,No,4,Yes,No,Good,Yes
4RA13CS055,13,female,24,Urban,Degree,SSLC,Rich,71,69,77,0,Yes,3,No,Yes,Good,Yes
4RA13CS056,13,female,24,Rural,PUC/Diploma,SSLC,Medium,53,68,58,0,Yes,2,Yes,No,Good,Yes
4RA13CS057,13,female,24,Urban,SSLC,PUC/Diploma,Medium,60,66,64,0,Yes,5,No,Yes,Good,No
4RA13CS058,13,male,24,Rural,SSLC,PUC/Diploma,Medium,35,47,51,0,Yes,4,No,No,Good,Yes
4RA13CS059,13,female,25,Rural,Degree,PUC/Diploma,Rich,34,38,40,1,No,1,Yes,No,Good,Yes
4RA13CS060,13,female,25,Urban,PUC/Diploma,SSLC,Medium,72,68,71,0,Yes,3,Yes,No,Good,Yes
4RA13CS061,13,female,24,Rural,PUC/Diploma,PUC/Diploma,Medium,70,67,72,0,No,4,Yes,Yes,Good,No
4RA13CS062,13,male,24,Rural,SSLC,SSLC,Medium,44,49,37,0,Yes,3,Yes,Yes,Poor,No
4RA13CS063,13,male,24,Rural,SSLC,PUC/Diploma,Medium,92,85,70,0,Yes,3,Yes,Yes,Good,Yes
4RA13CS064,13,male,25,Urban,PUC/Diploma,PUC/Diploma,Medium,45,33,42,1,Yes,4,Yes,No,Good,No
4RA13CS065,13,female,24,Urban,PUC/Diploma,PUC/Diploma,Medium,76,71,66,0,Yes,3,No,No,Good,No
4RA13CS066,13,male,24,Urban,PUC/Diploma,Degree,Medium,44,43,48,0,Yes,2,No,Yes,Poor,No
4RA13CS067,13,female,26,Rural,Degree,Degree,Medium,43,31,31,2,Yes,3,Yes,No,Good,Yes
4RA13CS068,13,female,24,Rural,PUC/Diploma,PUC/Diploma,Poor,61,61,65,0,Yes,5,No,No,Good,No
4RA13CS069,13,male,24,Rural,PUC/Diploma,SSLC,Medium,81,80,72,0,Yes,1,No,Yes,Poor,Yes
4RA13CS070,13,female,24,Urban,PUC/Diploma,PUC/Diploma,Medium,77,80,65,0,Yes,4,No,No,Good,No
4RA13CS071,13,male,24,Urban,Degree,Degree,Medium,91,87,83,0,Yes,4,No,No,Good,Yes
4RA13CS072,13,female,24,Urban,Degree,SSLC,Medium,95,89,77,0,Yes,2,No,No,Good,Yes
4RA13CS073,13,male,24,Urban,Degree,PUC/Diploma,Poor,51,61,58,0,Yes,5,No,No,Poor,Yes
4RA13CS074,13,male,24,Urban,SSLC,Degree,Medium,84,69,59,0,Yes,2,No,No,Good,Yes
4RA13CS075,13,male,24,Urban,Degree,PUC/Diploma,Poor,50,61,48,0,Yes,4,Yes,Yes,Good,No
4RA13CV001,13,male,26,Urban,SSLC,SSLC,Medium,39,30,29,2,Yes,2,Yes,Yes,Good,Yes
4RA13CV002,13,female,24,Urban,Degree,SSLC,Medium,54,45,52,0,Yes,1,No,No,Poor,Yes
4RA13CV003,13,male,24,Urban,Degree,SSLC,Medium,71,61,54,0,No,3,Yes,Yes,Good,No
4RA13CV004,13,male,24,Rural,PUC/Diploma,SSLC,Medium,37,39,48,0,Yes,2,No,Yes,Good,Yes
4RA13CV005,13,male,24,Urban,Degree,PUC/Diploma,Medium,94,83,76,0,Yes,5,No,No,Good,No
